ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0042626	ATPase-coupled transmembrane transporter activity	2/42	96/18496	0,020060882	0,130439987	0,085638841	4363/1080	2	MF
GO:0032356	oxidized DNA binding	1/42	10/18496	0,022482391	0,130439987	0,085638841	4436	1	MF
GO:0004620	phospholipase activity	2/42	104/18496	0,02329608	0,130439987	0,085638841	58986/283748	2	MF
GO:0008017	microtubule binding	3/42	273/18496	0,023908492	0,130439987	0,085638841	9055/1780/64147	3	MF
GO:0032404	mismatch repair complex binding	1/42	11/18496	0,0247033	0,130439987	0,085638841	4436	1	MF
GO:0048407	platelet-derived growth factor binding	1/42	11/18496	0,0247033	0,130439987	0,085638841	5159	1	MF
GO:0003774	cytoskeletal motor activity	2/42	112/18496	0,026731071	0,130439987	0,085638841	1780/64147	2	MF
GO:0005200	structural constituent of cytoskeleton	2/42	112/18496	0,026731071	0,130439987	0,085638841	6712/6708	2	MF
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	1/42	12/18496	0,026919284	0,130439987	0,085638841	1030	1	MF
GO:0070679	inositol 1,4,5 trisphosphate binding	1/42	12/18496	0,026919284	0,130439987	0,085638841	3710	1	MF
GO:0004535	poly(A)-specific ribonuclease activity	1/42	13/18496	0,029130353	0,130439987	0,085638841	9924	1	MF
GO:0017081	chloride channel regulator activity	1/42	13/18496	0,029130353	0,130439987	0,085638841	1080	1	MF
GO:0003697	single-stranded DNA binding	2/42	118/18496	0,029433673	0,130439987	0,085638841	675/4436	2	MF
GO:0005161	platelet-derived growth factor receptor binding	1/42	14/18496	0,031336517	0,130439987	0,085638841	5159	1	MF
GO:0008559	ABC-type xenobiotic transporter activity	1/42	14/18496	0,031336517	0,130439987	0,085638841	4363	1	MF
GO:0010484	histone H3 acetyltransferase activity	1/42	14/18496	0,031336517	0,130439987	0,085638841	675	1	MF
GO:0030983	mismatched DNA binding	1/42	14/18496	0,031336517	0,130439987	0,085638841	4436	1	MF
GO:0043138	3'-5' DNA helicase activity	1/42	14/18496	0,031336517	0,130439987	0,085638841	57697	1	MF
GO:0031625	ubiquitin protein ligase binding	3/42	308/18496	0,032560346	0,130439987	0,085638841	11200/672/2065	3	MF
GO:0005041	low-density lipoprotein particle receptor activity	1/42	15/18496	0,033537786	0,130439987	0,085638841	7436	1	MF
GO:0005521	lamin binding	1/42	15/18496	0,033537786	0,130439987	0,085638841	7112	1	MF
GO:0015562	efflux transmembrane transporter activity	1/42	15/18496	0,033537786	0,130439987	0,085638841	4363	1	MF
GO:0016298	lipase activity	2/42	128/18496	0,03416907	0,130439987	0,085638841	58986/283748	2	MF
GO:0045504	dynein heavy chain binding	1/42	16/18496	0,035734172	0,130439987	0,085638841	1780	1	MF
GO:0099106	ion channel regulator activity	2/42	134/18496	0,037143785	0,130439987	0,085638841	1080/23327	2	MF
GO:0044389	ubiquitin-like protein ligase binding	3/42	327/18496	0,037858092	0,130439987	0,085638841	11200/672/2065	3	MF
GO:0034185	apolipoprotein binding	1/42	17/18496	0,037925686	0,130439987	0,085638841	7436	1	MF
GO:0047498	calcium-dependent phospholipase A2 activity	1/42	17/18496	0,037925686	0,130439987	0,085638841	283748	1	MF
GO:0004713	protein tyrosine kinase activity	2/42	138/18496	0,039180632	0,130439987	0,085638841	2260/5159	2	MF
GO:0070851	growth factor receptor binding	2/42	138/18496	0,039180632	0,130439987	0,085638841	10750/5159	2	MF
GO:0016247	channel regulator activity	2/42	139/18496	0,039696427	0,130439987	0,085638841	1080/23327	2	MF
GO:0045296	cadherin binding	3/42	334/18496	0,039915327	0,130439987	0,085638841	7112/64837/6712	3	MF
GO:0008970	phospholipase A1 activity	1/42	18/18496	0,040112336	0,130439987	0,085638841	283748	1	MF
GO:0015278	calcium-release channel activity	1/42	18/18496	0,040112336	0,130439987	0,085638841	3710	1	MF
GO:0030228	lipoprotein particle receptor activity	1/42	18/18496	0,040112336	0,130439987	0,085638841	7436	1	MF
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	1/42	18/18496	0,040112336	0,130439987	0,085638841	498	1	MF
GO:0002020	protease binding	2/42	142/18496	0,041259391	0,130439987	0,085638841	675/498	2	MF
GO:0099095	ligand-gated monoatomic anion channel activity	1/42	19/18496	0,042294135	0,130439987	0,085638841	1080	1	MF
GO:0015276	ligand-gated monoatomic ion channel activity	2/42	146/18496	0,043379177	0,130439987	0,085638841	1080/3710	2	MF
GO:0022834	ligand-gated channel activity	2/42	147/18496	0,043915431	0,130439987	0,085638841	1080/3710	2	MF
GO:0042288	MHC class I protein binding	1/42	20/18496	0,044471093	0,130439987	0,085638841	498	1	MF
GO:0061608	nuclear import signal receptor activity	1/42	20/18496	0,044471093	0,130439987	0,085638841	79711	1	MF
GO:0140664	ATP-dependent DNA damage sensor activity	1/42	20/18496	0,044471093	0,130439987	0,085638841	4436	1	MF
GO:0008373	sialyltransferase activity	1/42	21/18496	0,04664322	0,130439987	0,085638841	55808	1	MF
GO:0099186	structural constituent of postsynapse	1/42	21/18496	0,04664322	0,130439987	0,085638841	6712	1	MF
GO:0015103	inorganic anion transmembrane transporter activity	2/42	153/18496	0,047184902	0,130439987	0,085638841	4363/1080	2	MF
GO:0052689	carboxylic ester hydrolase activity	2/42	153/18496	0,047184902	0,130439987	0,085638841	58986/283748	2	MF
GO:0004386	helicase activity	2/42	154/18496	0,047738346	0,130439987	0,085638841	83990/57697	2	MF
GO:0010485	histone H4 acetyltransferase activity	1/42	22/18496	0,048810526	0,131517251	0,086346106	675	1	MF
GO:0016853	isomerase activity	2/42	158/18496	0,049976016	0,132812973	0,087196797	1080/116447	2	MF
GO:0017134	fibroblast growth factor binding	1/42	23/18496	0,050973023	0,133631978	0,087734505	2260	1	MF
GO:0140612	DNA damage sensor activity	1/42	24/18496	0,053130719	0,135759793	0,089131497	4436	1	MF
GO:0015399	primary active transmembrane transporter activity	2/42	164/18496	0,053402763	0,135759793	0,089131497	4363/1080	2	MF
GO:0016874	ligase activity	2/42	166/18496	0,054563331	0,135759793	0,089131497	31/498	2	MF
GO:0008139	nuclear localization sequence binding	1/42	25/18496	0,055283627	0,135759793	0,089131497	79711	1	MF
GO:0030247	polysaccharide binding	1/42	25/18496	0,055283627	0,135759793	0,089131497	8987	1	MF
GO:0005112	Notch binding	1/42	26/18496	0,057431756	0,13587513	0,08920722	4851	1	MF
GO:0015252	proton channel activity	1/42	26/18496	0,057431756	0,13587513	0,08920722	498	1	MF
GO:0030507	spectrin binding	1/42	26/18496	0,057431756	0,13587513	0,08920722	1780	1	MF
GO:0098918	structural constituent of synapse	1/42	27/18496	0,059575116	0,137356281	0,090179653	6712	1	MF
GO:0099604	ligand-gated calcium channel activity	1/42	27/18496	0,059575116	0,137356281	0,090179653	3710	1	MF
GO:0140098	catalytic activity, acting on RNA	3/42	395/18496	0,060181876	0,137356281	0,090179653	83990/57697/9924	3	MF
GO:0015106	bicarbonate transmembrane transporter activity	1/42	30/18496	0,06597669	0,148831138	0,097713335	1080	1	MF
GO:0071813	lipoprotein particle binding	1/42	31/18496	0,068101079	0,150131925	0,098567352	7436	1	MF
GO:0071814	protein-lipid complex binding	1/42	31/18496	0,068101079	0,150131925	0,098567352	7436	1	MF
GO:0140142	nucleocytoplasmic carrier activity	1/42	32/18496	0,070220752	0,15306546	0,100493329	79711	1	MF
GO:0030296	protein tyrosine kinase activator activity	1/42	33/18496	0,072335718	0,155923659	0,102369846	2065	1	MF
GO:0005154	epidermal growth factor receptor binding	1/42	35/18496	0,07655157	0,158455179	0,104031887	10750	1	MF
GO:0043015	gamma-tubulin binding	1/42	35/18496	0,07655157	0,158455179	0,104031887	675	1	MF
GO:0090482	vitamin transmembrane transporter activity	1/42	35/18496	0,07655157	0,158455179	0,104031887	4363	1	MF
GO:0000175	3'-5'-RNA exonuclease activity	1/42	36/18496	0,078652476	0,158455179	0,104031887	9924	1	MF
GO:0005216	monoatomic ion channel activity	3/42	443/18496	0,078934805	0,158455179	0,104031887	1080/3710/498	3	MF
GO:0030291	protein serine/threonine kinase inhibitor activity	1/42	37/18496	0,080748717	0,158455179	0,104031887	1030	1	MF
GO:0042910	xenobiotic transmembrane transporter activity	1/42	37/18496	0,080748717	0,158455179	0,104031887	4363	1	MF
GO:0004518	nuclease activity	2/42	208/18496	0,080861148	0,158455179	0,104031887	57697/9924	2	MF
GO:0051015	actin filament binding	2/42	208/18496	0,080861148	0,158455179	0,104031887	6712/6708	2	MF
GO:0016896	RNA exonuclease activity, producing 5'-phosphomonoesters	1/42	39/18496	0,084927239	0,163127568	0,107099489	9924	1	MF
GO:0017080	sodium channel regulator activity	1/42	39/18496	0,084927239	0,163127568	0,107099489	23327	1	MF
GO:0004532	RNA exonuclease activity	1/42	41/18496	0,089087218	0,167466429	0,109948117	9924	1	MF
GO:0140299	small molecule sensor activity	1/42	41/18496	0,089087218	0,167466429	0,109948117	4436	1	MF
GO:0042287	MHC protein binding	1/42	42/18496	0,091160279	0,167466429	0,109948117	498	1	MF
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	2/42	225/18496	0,092432118	0,167466429	0,109948117	675/284098	2	MF
GO:0019887	protein kinase regulator activity	2/42	226/18496	0,093127409	0,167466429	0,109948117	1030/2065	2	MF
GO:0004402	histone acetyltransferase activity	1/42	43/18496	0,093228734	0,167466429	0,109948117	675	1	MF
GO:0051539	4 iron, 4 sulfur cluster binding	1/42	43/18496	0,093228734	0,167466429	0,109948117	83990	1	MF
GO:0005543	phospholipid binding	3/42	484/18496	0,096747924	0,172193553	0,113051654	3710/6712/283748	3	MF
GO:0001784	phosphotyrosine residue binding	1/42	47/18496	0,101456695	0,17573749	0,115378385	10750	1	MF
GO:0005048	signal sequence binding	1/42	47/18496	0,101456695	0,17573749	0,115378385	79711	1	MF
GO:0061733	peptide-lysine-N-acetyltransferase activity	1/42	47/18496	0,101456695	0,17573749	0,115378385	675	1	MF
GO:0015459	potassium channel regulator activity	1/42	48/18496	0,103502271	0,177694164	0,116663016	23327	1	MF
GO:0008514	organic anion transmembrane transporter activity	2/42	242/18496	0,104457491	0,177760993	0,116706892	4363/1080	2	MF
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	1/42	50/18496	0,107579792	0,181482432	0,119150159	1030	1	MF
GO:0005080	protein kinase C binding	1/42	51/18496	0,109611759	0,183316217	0,120354109	51339	1	MF
GO:0034212	peptide N-acetyltransferase activity	1/42	52/18496	0,111639208	0,183542427	0,120502624	675	1	MF
GO:0051018	protein kinase A binding	1/42	52/18496	0,111639208	0,183542427	0,120502624	51339	1	MF
GO:0005544	calcium-dependent phospholipid binding	1/42	53/18496	0,113662151	0,18529796	0,121655199	283748	1	MF
GO:0019207	kinase regulator activity	2/42	256/18496	0,114667111	0,185378496	0,121708074	1030/2065	2	MF
GO:0017069	snRNA binding	1/42	54/18496	0,115680596	0,185471369	0,121769049	51759	1	MF
GO:0008374	O-acyltransferase activity	1/42	55/18496	0,117694554	0,185632061	0,121874549	284098	1	MF
GO:0008408	3'-5' exonuclease activity	1/42	55/18496	0,117694554	0,185632061	0,121874549	9924	1	MF
GO:0070063	RNA polymerase binding	1/42	57/18496	0,121709047	0,190415767	0,125015235	672	1	MF
GO:1901682	sulfur compound transmembrane transporter activity	1/42	58/18496	0,123709601	0,191997301	0,126053573	4363	1	MF
GO:0045309	protein phosphorylated amino acid binding	1/42	59/18496	0,125705707	0,193546882	0,127070932	10750	1	MF
GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	1/42	60/18496	0,127697374	0,19506528	0,128067818	9924	1	MF
GO:1901681	sulfur compound binding	2/42	275/18496	0,128916298	0,195388764	0,128280198	2260/4583	2	MF
GO:0003713	transcription coactivator activity	2/42	280/18496	0,132734526	0,19944071	0,130940456	672/4851	2	MF
GO:0005507	copper ion binding	1/42	63/18496	0,133645837	0,19944071	0,130940456	4583	1	MF
GO:0002039	p53 binding	1/42	66/18496	0,139554695	0,206668785	0,135685963	672	1	MF
GO:0008080	N-acetyltransferase activity	1/42	68/18496	0,143472058	0,21086045	0,138437951	675	1	MF
GO:0051536	iron-sulfur cluster binding	1/42	70/18496	0,14737201	0,213359477	0,140078658	83990	1	MF
GO:0051540	metal cluster binding	1/42	70/18496	0,14737201	0,213359477	0,140078658	83990	1	MF
GO:0004860	protein kinase inhibitor activity	1/42	72/18496	0,151254625	0,217358498	0,142704169	1030	1	MF
GO:0019210	kinase inhibitor activity	1/42	76/18496	0,158968146	0,226763385	0,148878837	1030	1	MF
GO:0048306	calcium-dependent protein binding	1/42	79/18496	0,164708336	0,233236622	0,153128764	7436	1	MF
GO:0022839	monoatomic ion gated channel activity	2/42	325/18496	0,16816643	0,234147729	0,153726941	1080/3710	2	MF
GO:0004527	exonuclease activity	1/42	81/18496	0,168513863	0,234147729	0,153726941	9924	1	MF
GO:0022836	gated channel activity	2/42	326/18496	0,168972588	0,234147729	0,153726941	1080/3710	2	MF
GO:0005254	chloride channel activity	1/42	82/18496	0,170410275	0,234465201	0,153935373	1080	1	MF
GO:0030165	PDZ domain binding	1/42	84/18496	0,17419044	0,236917289	0,155545263	1080	1	MF
GO:0005261	monoatomic cation channel activity	2/42	333/18496	0,174634909	0,236917289	0,155545263	3710/498	2	MF
GO:0008013	beta-catenin binding	1/42	85/18496	0,176074211	0,23721109	0,155738155	51339	1	MF
GO:0043178	alcohol binding	1/42	89/18496	0,183567438	0,245600572	0,161246171	3710	1	MF
GO:0051219	phosphoprotein binding	1/42	93/18496	0,190994126	0,251789622	0,165309519	10750	1	MF
GO:0016410	N-acyltransferase activity	1/42	94/18496	0,192840469	0,251789622	0,165309519	675	1	MF
GO:0005253	monoatomic anion channel activity	1/42	95/18496	0,194682698	0,251789622	0,165309519	1080	1	MF
GO:0016407	acetyltransferase activity	1/42	95/18496	0,194682698	0,251789622	0,165309519	675	1	MF
GO:0140104	molecular carrier activity	1/42	95/18496	0,194682698	0,251789622	0,165309519	79711	1	MF
GO:0004857	enzyme inhibitor activity	2/42	386/18496	0,218382238	0,280570558	0,184205304	1030/4851	2	MF
GO:0099094	ligand-gated monoatomic cation channel activity	1/42	110/18496	0,221828528	0,283123253	0,185881246	3710	1	MF
GO:0015108	chloride transmembrane transporter activity	1/42	120/18496	0,239427304	0,301616215	0,198022583	1080	1	MF
GO:0031490	chromatin DNA binding	1/42	120/18496	0,239427304	0,301616215	0,198022583	4851	1	MF
GO:0045177	apical part of cell	7/44	469/19886	6,98867E-05	0,010413124	0,007945018	4363/1080/3710/6712/5159/2065/4851	7	CC
GO:0016324	apical plasma membrane	6/44	403/19886	0,0002456	0,018297179	0,013960405	4363/1080/6712/5159/2065/4851	6	CC
GO:0000800	lateral element	2/44	14/19886	0,000428106	0,021262593	0,016222961	675/672	2	CC
GO:1990391	DNA repair complex	2/44	22/19886	0,001074574	0,040027893	0,030540533	675/672	2	CC
GO:0005796	Golgi lumen	3/44	106/19886	0,001663282	0,044947791	0,034294323	4585/4583/283463	3	CC
GO:0098687	chromosomal region	5/44	399/19886	0,001809978	0,044947791	0,034294323	675/4436/11200/1780/51759	5	CC
GO:0000795	synaptonemal complex	2/44	40/19886	0,003537913	0,065893628	0,050275605	675/672	2	CC
GO:0099086	synaptonemal structure	2/44	40/19886	0,003537913	0,065893628	0,050275605	675/672	2	CC
GO:0000152	nuclear ubiquitin ligase complex	2/44	44/19886	0,004266869	0,067124978	0,051215102	675/672	2	CC
GO:0005871	kinesin complex	2/44	47/19886	0,004855332	0,067124978	0,051215102	64837/64147	2	CC
GO:0005875	microtubule associated complex	3/44	156/19886	0,004955535	0,067124978	0,051215102	1780/64837/64147	3	CC
GO:0000781	chromosome, telomeric region	3/44	171/19886	0,006389566	0,079337106	0,060532727	675/4436/11200	3	CC
GO:0016328	lateral plasma membrane	2/44	67/19886	0,009656863	0,110682512	0,084448685	4363/2065	2	CC
GO:0030864	cortical actin cytoskeleton	2/44	73/19886	0,011382451	0,121141799	0,092428924	6712/6708	2	CC
GO:0000794	condensed nuclear chromosome	2/44	81/19886	0,013877497	0,137849804	0,105176819	675/672	2	CC
GO:0005765	lysosomal membrane	4/44	441/19886	0,016100491	0,141116064	0,107668915	1080/64837/7436/58986	4	CC
GO:0098852	lytic vacuole membrane	4/44	441/19886	0,016100491	0,141116064	0,107668915	1080/64837/7436/58986	4	CC
GO:0005874	microtubule	4/44	467/19886	0,019443217	0,143897634	0,109791201	9055/1780/64837/64147	4	CC
GO:0005774	vacuolar membrane	4/44	484/19886	0,021846223	0,143897634	0,109791201	1080/64837/7436/58986	4	CC
GO:0070938	contractile ring	1/44	10/19886	0,021912019	0,143897634	0,109791201	9055	1	CC
GO:0099571	postsynaptic cytoskeleton	1/44	10/19886	0,021912019	0,143897634	0,109791201	6712	1	CC
GO:0030863	cortical cytoskeleton	2/44	105/19886	0,022618303	0,143897634	0,109791201	6712/6708	2	CC
GO:0031094	platelet dense tubular network	1/44	11/19886	0,024077237	0,143897634	0,109791201	3710	1	CC
GO:0032300	mismatch repair complex	1/44	11/19886	0,024077237	0,143897634	0,109791201	4436	1	CC
GO:0000793	condensed chromosome	3/44	281/19886	0,024143898	0,143897634	0,109791201	675/672/1780	3	CC
GO:0043240	Fanconi anaemia nuclear complex	1/44	13/19886	0,028393629	0,162717336	0,124150281	57697	1	CC
GO:1990023	mitotic spindle midzone	1/44	14/19886	0,030544823	0,167424363	0,127741655	9055	1	CC
GO:0030667	secretory granule membrane	3/44	314/19886	0,032081091	0,167424363	0,127741655	3710/8987/255101	3	CC
GO:0001741	XY body	1/44	15/19886	0,032691363	0,167424363	0,127741655	672	1	CC
GO:0000930	gamma-tubulin complex	1/44	16/19886	0,034833257	0,167424363	0,127741655	672	1	CC
GO:0098554	cytoplasmic side of endoplasmic reticulum membrane	1/44	16/19886	0,034833257	0,167424363	0,127741655	3710	1	CC
GO:0008180	COP9 signalosome	1/44	17/19886	0,036970516	0,172143964	0,131342622	10750	1	CC
GO:0001669	acrosomal vesicle	2/44	145/19886	0,040918383	0,17373169	0,132554027	255101/4851	2	CC
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	1/44	19/19886	0,041231167	0,17373169	0,132554027	498	1	CC
GO:0098688	parallel fiber to Purkinje cell synapse	1/44	19/19886	0,041231167	0,17373169	0,132554027	6712	1	CC
GO:0034361	very-low-density lipoprotein particle	1/44	20/19886	0,043354579	0,17373169	0,132554027	7436	1	CC
GO:0034385	triglyceride-rich plasma lipoprotein particle	1/44	20/19886	0,043354579	0,17373169	0,132554027	7436	1	CC
GO:0005753	mitochondrial proton-transporting ATP synthase complex	1/44	21/19886	0,045473395	0,17373169	0,132554027	498	1	CC
GO:0034045	phagophore assembly site membrane	1/44	21/19886	0,045473395	0,17373169	0,132554027	8987	1	CC
GO:0045259	proton-transporting ATP synthase complex	1/44	22/19886	0,047587625	0,177263903	0,13524904	498	1	CC
GO:0005868	cytoplasmic dynein complex	1/44	23/19886	0,049697278	0,180607181	0,137799898	1780	1	CC
GO:0036126	sperm flagellum	2/44	164/19886	0,051032531	0,18104398	0,138133167	64147/255101	2	CC
GO:0000922	spindle pole	2/44	176/19886	0,057836373	0,19585499	0,149433691	9055/1780	2	CC
GO:0005775	vacuolar lumen	2/44	176/19886	0,057836373	0,19585499	0,149433691	388697/5159	2	CC
GO:0097729	9+2 motile cilium	2/44	182/19886	0,061351142	0,203140449	0,15499236	64147/255101	2	CC
GO:0002102	podosome	1/44	31/19886	0,066410896	0,210536671	0,160635538	64147	1	CC
GO:0005640	nuclear outer membrane	1/44	31/19886	0,066410896	0,210536671	0,160635538	3710	1	CC
GO:0002080	acrosomal membrane	1/44	32/19886	0,068479792	0,212572687	0,16218898	255101	1	CC
GO:0055037	recycling endosome	2/44	202/19886	0,073573085	0,21485904	0,163933425	1080/1780	2	CC
GO:0030662	coated vesicle membrane	2/44	203/19886	0,074203583	0,21485904	0,163933425	1080/90411	2	CC
GO:0000803	sex chromosome	1/44	35/19886	0,074659631	0,21485904	0,163933425	672	1	CC
GO:0034358	plasma lipoprotein particle	1/44	36/19886	0,07671066	0,21485904	0,163933425	7436	1	CC
GO:1990777	lipoprotein particle	1/44	36/19886	0,07671066	0,21485904	0,163933425	7436	1	CC
GO:0051233	spindle midzone	1/44	37/19886	0,078757246	0,21485904	0,163933425	9055	1	CC
GO:0098562	cytoplasmic side of membrane	2/44	211/19886	0,079310384	0,21485904	0,163933425	3710/6708	2	CC
GO:0000407	phagophore assembly site	1/44	38/19886	0,080799398	0,214984114	0,164028854	8987	1	CC
GO:0032994	protein-lipid complex	1/44	39/19886	0,082837126	0,216539155	0,165215321	7436	1	CC
GO:0000228	nuclear chromosome	2/44	228/19886	0,090514295	0,232528103	0,177414589	675/672	2	CC
GO:0009295	nucleoid	1/44	45/19886	0,094971108	0,233060339	0,177820676	116447	1	CC
GO:0042645	mitochondrial nucleoid	1/44	45/19886	0,094971108	0,233060339	0,177820676	116447	1	CC
GO:0005635	nuclear envelope	3/44	494/19886	0,095667875	0,233060339	0,177820676	83990/7112/3710	3	CC
GO:0043209	myelin sheath	1/44	46/19886	0,096978128	0,233060339	0,177820676	3710	1	CC
GO:0016323	basolateral plasma membrane	2/44	249/19886	0,104955193	0,24026986	0,183321405	4363/2065	2	CC
GO:0016469	proton-transporting two-sector ATPase complex	1/44	50/19886	0,104962798	0,24026986	0,183321405	498	1	CC
GO:0030315	T-tubule	1/44	51/19886	0,10694816	0,24026986	0,183321405	8987	1	CC
GO:0036464	cytoplasmic ribonucleoprotein granule	2/44	253/19886	0,107774542	0,24026986	0,183321405	1780/9924	2	CC
GO:0001673	male germ cell nucleus	1/44	52/19886	0,108929218	0,24026986	0,183321405	672	1	CC
GO:0097225	sperm midpiece	1/44	53/19886	0,110905981	0,24026986	0,183321405	255101	1	CC
GO:0000775	chromosome, centromeric region	2/44	258/19886	0,111327616	0,24026986	0,183321405	1780/51759	2	CC
GO:0030286	dynein complex	1/44	54/19886	0,112878458	0,24026986	0,183321405	1780	1	CC
GO:0034707	chloride channel complex	1/44	55/19886	0,114846658	0,241016226	0,183890868	1080	1	CC
GO:0030660	Golgi-associated vesicle membrane	1/44	57/19886	0,118770265	0,243047915	0,185441009	1080	1	CC
GO:0035770	ribonucleoprotein granule	2/44	270/19886	0,119979734	0,243047915	0,185441009	1780/9924	2	CC
GO:0031514	motile cilium	2/44	271/19886	0,120708361	0,243047915	0,185441009	64147/255101	2	CC
GO:0001533	cornified envelope	1/44	60/19886	0,124623825	0,247585998	0,188903481	388697	1	CC
GO:0101003	ficolin-1-rich granule membrane	1/44	61/19886	0,126566554	0,24813706	0,189323931	8987	1	CC
GO:0009925	basal plasma membrane	2/44	282/19886	0,128796206	0,249172662	0,190114077	4363/2065	2	CC
GO:0060076	excitatory synapse	1/44	63/19886	0,13043938	0,249172662	0,190114077	6712	1	CC
GO:0012507	ER to Golgi transport vesicle membrane	1/44	64/19886	0,132369495	0,249658921	0,190485083	90411	1	CC
GO:0005771	multivesicular body	1/44	68/19886	0,140048173	0,253840305	0,193675401	23327	1	CC
GO:0043073	germ cell nucleus	1/44	68/19886	0,140048173	0,253840305	0,193675401	672	1	CC
GO:0045178	basal part of cell	2/44	301/19886	0,143057596	0,253840305	0,193675401	4363/2065	2	CC
GO:0005938	cell cortex	2/44	305/19886	0,146102999	0,253840305	0,193675401	6712/6708	2	CC
GO:0070821	tertiary granule membrane	1/44	73/19886	0,149553174	0,253840305	0,193675401	8987	1	CC
GO:0030135	coated vesicle	2/44	311/19886	0,150696986	0,253840305	0,193675401	1080/90411	2	CC
GO:0031965	nuclear membrane	2/44	311/19886	0,150696986	0,253840305	0,193675401	83990/3710	2	CC
GO:0030669	clathrin-coated endocytic vesicle membrane	1/44	74/19886	0,151441816	0,253840305	0,193675401	1080	1	CC
GO:0000151	ubiquitin ligase complex	2/44	314/19886	0,153005201	0,253840305	0,193675401	675/672	2	CC
GO:0005905	clathrin-coated pit	1/44	75/19886	0,153326359	0,253840305	0,193675401	7436	1	CC
GO:0016529	sarcoplasmic reticulum	1/44	75/19886	0,153326359	0,253840305	0,193675401	3710	1	CC
